model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.2509,0.481,0.1706,0.1009,[254  378  317]/669
model_v25,0.1581,0.3227,0.0769,0.0746,[251  377  335]/669
model_v27,0.4152,0.6793,0.1926,0.3736,[251  379  348]/669
model_v27_fine_tuned,0.4495,0.7434,0.2468,0.3582,[252  391  335]/669
model_v28,0.5267,0.7857,0.3812,0.4133,[252  383  323]/669
model_v29,0.629,0.8607,0.4682,0.558,[256  403  336]/669
model_v30,0.586,0.8424,0.4081,0.5075,[256  408  332]/669
model_v31,0.4821,0.7817,0.2613,0.4032,[255  375  315]/669
model_v32,0.5548,0.8438,0.3957,0.4249,[254  398  333]/669
