model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.4962,0.7503,0.4641,0.2741,[267  447  349]/669
model_v25,0.4423,0.7575,0.393,0.1764,[277  447  343]/669
model_v27,0.5893,0.8392,0.4284,0.5004,[256  434  397]/669
model_v27_fine_tuned,0.6138,0.857,0.4797,0.5047,[258  436  388]/669
model_v28,0.65,0.8368,0.5954,0.5177,[261  449  381]/669
model_v29,0.6783,0.8786,0.5975,0.5587,[265  483  420]/669
model_v30,0.6729,0.8823,0.5777,0.5586,[263  472  415]/669
model_v31,0.6231,0.8543,0.5199,0.4951,[262  460  374]/669
model_v32,0.6562,0.8924,0.5605,0.5157,[261  460  392]/669
model_v33,0.6744,0.8752,0.574,0.5742,[267  459  391]/669
model_v34,0.6597,0.878,0.5967,0.5045,[267  473  407]/669
model_v35,0.632,0.8318,0.5779,0.4862,[267  494  363]/669
model_v36,0.6902,0.8846,0.6062,0.5797,[265  485  408]/669
model_v37,0.6571,0.853,0.5758,0.5425,[259  509  396]/669
model_v38,0.6824,0.8632,0.62,0.5638,[273  486  423]/669
model_v39,0.6721,0.8655,0.6215,0.5292,[272  503  388]/669
model_v40,0.625,0.8541,0.5771,0.4437,[265  471  394]/669
model_v41,0.6897,0.8862,0.6193,0.5635,[265  470  383]/669
model_v42,0.6932,0.9035,0.6222,0.5539,[266  484  424]/669
model_v43,0.5324,0.8036,0.4189,0.3747,[258  419  367]/669
model_v44,0.649,0.8972,0.476,0.5736,[260  443  430]/669
model_v45,0.6717,0.8559,0.5995,0.5598,[270  472  383]/669
model_v46,0.6957,0.8796,0.6043,0.6034,[270  474  416]/669
