model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.5049,0.6179,0.5506,0.3461,[372  540  459]/669
model_v25,0.4475,0.6022,0.5073,0.233,[373  605  471]/669
model_v27,0.6081,0.8184,0.5305,0.4753,[275  539  506]/669
model_v27_fine_tuned,0.6088,0.7988,0.5336,0.4941,[284  538  494]/669
model_v28,0.6007,0.7588,0.5689,0.4744,[303  529  491]/669
model_v29,0.6023,0.7317,0.5878,0.4872,[320  546  512]/669
model_v30,0.633,0.8172,0.5671,0.5147,[289  553  492]/669
model_v31,0.6199,0.8034,0.5569,0.4995,[287  541  476]/669
model_v32,0.6394,0.8434,0.5804,0.4945,[281  544  490]/669
model_v33,0.6465,0.8235,0.5914,0.5246,[286  526  492]/669
model_v34,0.6236,0.8004,0.5949,0.4754,[294  537  497]/669
model_v35,0.5775,0.7016,0.5737,0.4572,[327  559  479]/669
model_v36,0.6451,0.8376,0.5899,0.5079,[282  543  505]/669
model_v37,0.618,0.8072,0.5518,0.4949,[284  565  504]/669
model_v38,0.6293,0.8023,0.5935,0.492,[298  551  511]/669
model_v39,0.6239,0.7656,0.5968,0.5093,[309  556  477]/669
model_v40,0.5964,0.7859,0.5869,0.4165,[295  541  501]/669
model_v41,0.6438,0.8066,0.6012,0.5237,[295  535  486]/669
model_v42,0.6391,0.8272,0.6011,0.489,[292  537  525]/669
model_v43,0.5883,0.8139,0.5479,0.4032,[275  534  470]/669
model_v44,0.6457,0.8548,0.556,0.5263,[276  540  498]/669
model_v45,0.6246,0.799,0.5772,0.4976,[295  544  487]/669
model_v46,0.6579,0.842,0.608,0.5236,[285  529  506]/669
model_v47,0.6585,0.8322,0.5928,0.5505,[286  519  457]/669
model_v42_fine_tuned,0.6418,0.8129,0.6109,0.5015,[293  526  523]/669
