model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.3959,0.6921,0.2975,0.1981,[256  405  318]/669
model_v25,0.3065,0.6085,0.1943,0.1168,[258  386  334]/669
model_v27,0.5266,0.7789,0.3468,0.4541,[254  408  370]/669
model_v27_fine_tuned,0.5396,0.8092,0.3684,0.4412,[255  414  357]/669
model_v28,0.6104,0.8435,0.4949,0.4927,[254  423  354]/669
model_v29,0.662,0.8753,0.5424,0.5683,[258  438  378]/669
model_v30,0.6513,0.8818,0.5214,0.5507,[258  443  375]/669
model_v31,0.5746,0.8307,0.4183,0.4749,[257  418  338]/669
model_v32,0.6272,0.882,0.52,0.4795,[257  417  366]/669
model_v33,0.6508,0.8823,0.5054,0.5646,[262  423  356]/669
model_v34,0.6359,0.8912,0.5372,0.4792,[259  439  360]/669
model_v35,0.6078,0.823,0.5575,0.4429,[257  446  324]/669
model_v36,0.6853,0.8914,0.5949,0.5695,[261  448  374]/669
model_v37,0.6472,0.8211,0.5774,0.5432,[259  473  359]/669
model_v38,0.6749,0.8915,0.5964,0.5366,[262  447  382]/669
model_v39,0.6712,0.8643,0.6151,0.5342,[269  471  346]/669
model_v40,0.5746,0.8372,0.4841,0.4026,[260  429  373]/669
model_v41,0.6803,0.8927,0.5785,0.5696,[261  438  345]/669
model_v42,0.687,0.8957,0.5999,0.5654,[262  453  390]/669
model_v43,0.4304,0.7566,0.2275,0.3072,[254  378  332]/669
model_v44,0.6134,0.8794,0.3731,0.5879,[257  407  385]/669
model_v45,0.6472,0.8493,0.5722,0.5203,[267  434  337]/669
