model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.3961,0.6921,0.2975,0.1987,[256  405  317]/669
model_v25,0.3054,0.6047,0.1943,0.1171,[258  386  333]/669
model_v27,0.5259,0.7769,0.3468,0.4541,[254  408  370]/669
model_v27_fine_tuned,0.5389,0.8072,0.3684,0.4412,[255  414  357]/669
model_v28,0.6114,0.8445,0.4953,0.4943,[254  423  353]/669
model_v29,0.6611,0.8734,0.5428,0.567,[258  438  378]/669
model_v30,0.6507,0.8798,0.5214,0.5507,[258  443  375]/669
model_v31,0.574,0.8275,0.4183,0.4763,[257  418  337]/669
model_v32,0.6271,0.882,0.52,0.4795,[257  417  365]/669
model_v33,0.6509,0.881,0.5054,0.5662,[262  423  355]/669
model_v34,0.6356,0.89,0.5376,0.4792,[259  439  360]/669
model_v35,0.6063,0.8197,0.5579,0.4414,[257  446  324]/669
