model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.5043,0.6143,0.5523,0.3463,[372  540  462]/669
model_v25,0.4493,0.6003,0.5091,0.2385,[373  605  472]/669
model_v27,0.61,0.8199,0.5289,0.4813,[275  539  505]/669
model_v27_fine_tuned,0.6098,0.7986,0.532,0.4987,[284  538  493]/669
model_v28,0.6006,0.7592,0.567,0.4756,[303  529  493]/669
model_v29,0.602,0.7299,0.5886,0.4874,[320  546  513]/669
model_v30,0.6326,0.8146,0.5668,0.5163,[289  553  492]/669
model_v31,0.62,0.8052,0.5538,0.5011,[287  541  476]/669
model_v32,0.6395,0.8413,0.579,0.4981,[281  544  490]/669
model_v33,0.6472,0.8238,0.5923,0.5256,[286  525  492]/669
model_v34,0.625,0.8015,0.5949,0.4785,[294  537  497]/669
model_v35,0.5794,0.7022,0.5753,0.4607,[327  559  479]/669
model_v36,0.6447,0.8355,0.5889,0.5096,[282  543  505]/669
model_v37,0.6177,0.8054,0.5508,0.4969,[284  565  504]/669
model_v38,0.6302,0.7996,0.595,0.4958,[298  551  511]/669
model_v39,0.6228,0.7638,0.5938,0.5109,[309  556  479]/669
model_v40,0.5985,0.7877,0.5871,0.4208,[295  542  501]/669
