model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.5516,0.7339,0.5834,0.3376,[295  476  382]/669
model_v25,0.5003,0.7203,0.5517,0.2288,[306  528  389]/669
model_v27,0.6241,0.8501,0.51,0.5123,[262  487  442]/669
model_v27_fine_tuned,0.6442,0.859,0.5553,0.5183,[265  483  433]/669
model_v28,0.6521,0.8459,0.5976,0.5128,[270  484  435]/669
model_v29,0.6552,0.8335,0.6032,0.529,[280  510  464]/669
model_v30,0.6656,0.8626,0.5891,0.5452,[271  510  450]/669
model_v31,0.6419,0.8648,0.5563,0.5045,[266  504  422]/669
model_v32,0.6669,0.8694,0.5901,0.5413,[270  499  436]/669
model_v33,0.6765,0.8627,0.5928,0.5741,[273  488  431]/669
model_v34,0.6534,0.8561,0.6059,0.4982,[276  502  453]/669
model_v35,0.6289,0.8118,0.5833,0.4915,[279  527  413]/669
model_v36,0.6769,0.8657,0.6092,0.5557,[271  511  450]/669
model_v37,0.6521,0.8488,0.5689,0.5387,[264  536  439]/669
model_v38,0.6629,0.8363,0.614,0.5384,[282  518  458]/669
model_v39,0.6547,0.8208,0.6188,0.5246,[287  525  430]/669
model_v40,0.6347,0.8513,0.6031,0.4496,[273  505  433]/669
model_v41,0.6779,0.8627,0.6109,0.5601,[274  504  427]/669
model_v42,0.6771,0.8742,0.6227,0.5346,[274  502  470]/669
model_v43,0.5957,0.8273,0.5411,0.4186,[264  475  410]/669
model_v44,0.6626,0.8916,0.5431,0.553,[265  494  461]/669
model_v45,0.6592,0.8355,0.5909,0.5511,[279  506  424]/669
