model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.251,0.4813,0.1706,0.1009,[254  378  317]/669
model_v25,0.1588,0.3247,0.0769,0.0746,[251  377  335]/669
model_v27,0.4152,0.6799,0.1921,0.3736,[251  380  348]/669
model_v27_fine_tuned,0.4495,0.744,0.2462,0.3582,[252  392  335]/669
model_v28,0.5266,0.7857,0.3812,0.4128,[252  383  323]/669
model_v29,0.6295,0.86,0.4693,0.559,[256  402  336]/669
model_v30,0.5863,0.8434,0.4081,0.5075,[256  408  333]/669
model_v31,0.4821,0.7817,0.2613,0.4032,[255  375  315]/669
model_v32,0.5555,0.8458,0.3957,0.4249,[254  398  333]/669
model_v33,0.5853,0.8559,0.4014,0.4985,[258  387  333]/669
model_v34,0.5592,0.8509,0.4025,0.4243,[256  405  337]/669
model_v35,0.5313,0.7756,0.4431,0.3753,[251  404  306]/669
model_v36,0.6474,0.8709,0.5171,0.5543,[257  420  341]/669
model_v37,0.6184,0.7905,0.5524,0.5123,[253  436  326]/669
model_v38,0.6308,0.8845,0.5155,0.4926,[259  420  337]/669
model_v39,0.6517,0.8814,0.5768,0.4969,[260  444  319]/669
model_v40,0.4967,0.8158,0.3482,0.3261,[256  382  344]/669
model_v41,0.6113,0.8898,0.4524,0.4916,[257  408  318]/669
model_v42,0.663,0.8908,0.5605,0.5376,[258  427  359]/669
model_v43,0.3326,0.6905,0.0758,0.2315,[252  356  324]/669
model_v44,0.5472,0.8457,0.2489,0.547,[256  385  372]/669
model_v45,0.5935,0.8588,0.4486,0.4731,[259  399  304]/669
model_v46,0.6544,0.876,0.5203,0.5669,[262  419  344]/669
model_v47,0.6103,0.8782,0.472,0.4808,[260  393  313]/669
