model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.4975,0.7534,0.4659,0.2733,[267  446  347]/669
model_v25,0.4423,0.7563,0.3952,0.1755,[277  445  339]/669
model_v27,0.5871,0.8333,0.4309,0.4971,[256  432  398]/669
model_v27_fine_tuned,0.6146,0.8553,0.481,0.5074,[258  435  385]/669
model_v28,0.648,0.8333,0.595,0.5157,[261  449  381]/669
model_v29,0.677,0.878,0.5984,0.5545,[265  482  419]/669
model_v30,0.6717,0.8821,0.5789,0.5542,[263  471  415]/669
model_v31,0.6212,0.8511,0.5181,0.4942,[262  460  374]/669
model_v32,0.6536,0.8914,0.5603,0.509,[261  460  390]/669
model_v33,0.6751,0.8745,0.5752,0.5756,[267  458  390]/669
model_v34,0.6574,0.8739,0.597,0.5012,[267  473  407]/669
model_v35,0.6288,0.8277,0.5766,0.482,[267  494  362]/669
model_v36,0.6891,0.8836,0.6057,0.578,[265  485  408]/669
model_v37,0.6564,0.8542,0.5745,0.5405,[259  509  395]/669
model_v38,0.6822,0.8669,0.6193,0.5604,[273  486  422]/669
model_v39,0.6733,0.8658,0.6219,0.5321,[272  503  384]/669
model_v40,0.6208,0.8478,0.5741,0.4406,[265  470  393]/669
model_v41,0.6879,0.8837,0.6159,0.5641,[265  471  382]/669
