model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.251,0.481,0.1706,0.1013,[254  378  316]/669
model_v25,0.1581,0.3227,0.0769,0.0746,[251  377  335]/669
model_v27,0.4152,0.6793,0.1926,0.3736,[251  379  348]/669
model_v27_fine_tuned,0.4498,0.7434,0.2468,0.3593,[252  391  334]/669
model_v28,0.5261,0.7837,0.3812,0.4133,[252  383  323]/669
model_v29,0.6289,0.8587,0.4682,0.5597,[256  403  335]/669
model_v30,0.5854,0.8405,0.4081,0.5075,[256  408  332]/669
model_v31,0.4814,0.7797,0.2613,0.4032,[255  375  315]/669
model_v32,0.5553,0.8438,0.3957,0.4262,[254  398  332]/669
model_v33,0.5851,0.854,0.4014,0.5,[258  387  332]/669
model_v34,0.5592,0.8496,0.4025,0.4256,[256  405  336]/669
model_v35,0.5302,0.7716,0.4431,0.3758,[251  404  306]/669
model_v36,0.6461,0.8684,0.5171,0.5529,[257  420  340]/669
model_v37,0.618,0.7905,0.5512,0.5123,[253  436  326]/669
model_v38,0.6304,0.8832,0.5155,0.4925,[259  420  335]/669
model_v39,0.6506,0.8801,0.5781,0.4937,[260  443  319]/669
model_v40,0.4945,0.8118,0.346,0.3256,[256  383  343]/669
model_v41,0.6122,0.8904,0.4524,0.4937,[257  408  317]/669
model_v42,0.6617,0.8882,0.5593,0.5376,[258  427  359]/669
model_v43,0.3312,0.6885,0.0761,0.2291,[252  355  323]/669
model_v44,0.5468,0.8457,0.2489,0.5458,[256  385  371]/669
model_v45,0.5957,0.861,0.4509,0.4752,[259  397  302]/669
model_v46,0.655,0.876,0.5203,0.5687,[262  419  342]/669
model_v47,0.6124,0.8788,0.4744,0.4839,[260  391  311]/669
model_v42_fine_tuned,0.6485,0.8917,0.5063,0.5475,[260  421  358]/669
