model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.3953,0.6924,0.2961,0.1975,[256  407  319]/669
model_v25,0.3064,0.6085,0.1938,0.1168,[258  387  334]/669
model_v27,0.5266,0.7789,0.3468,0.4541,[254  408  370]/669
model_v27_fine_tuned,0.5393,0.8092,0.3675,0.4412,[255  415  357]/669
model_v28,0.6111,0.8448,0.4949,0.4936,[254  423  354]/669
model_v29,0.6643,0.876,0.5437,0.5732,[258  437  378]/669
model_v30,0.6524,0.8824,0.5214,0.5533,[258  443  375]/669
model_v31,0.5753,0.833,0.4195,0.4735,[257  418  339]/669
model_v32,0.6278,0.8826,0.52,0.4809,[257  417  366]/669
