model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.1103,0.2178,0.0712,0.0419,[251  365  334]/669
model_v25,0.0552,0.1044,0.027,0.0342,[249  371  351]/669
model_v27,0.2805,0.4841,0.0845,0.273,[251  361  326]/669
model_v27_fine_tuned,0.3186,0.6052,0.1039,0.2468,[252  361  316]/669
model_v28,0.3806,0.652,0.1606,0.3292,[250  358  322]/669
model_v29,0.5363,0.8234,0.2965,0.4889,[252  371  316]/669
model_v30,0.4886,0.7721,0.2681,0.4257,[253  373  303]/669
model_v31,0.3736,0.7165,0.1393,0.2651,[251  359  298]/669
model_v32,0.447,0.7851,0.2181,0.338,[252  376  324]/669
model_v33,0.4788,0.7988,0.2304,0.4072,[256  358  318]/669
model_v34,0.4478,0.8057,0.2387,0.2991,[253  375  316]/669
model_v35,0.3968,0.6554,0.2665,0.2685,[251  379  298]/669
model_v36,0.5605,0.8485,0.3629,0.4701,[253  400  318]/669
model_v37,0.5127,0.6892,0.4183,0.4305,[251  404  302]/669
model_v38,0.5656,0.8737,0.3948,0.4283,[256  385  307]/669
model_v39,0.5958,0.8612,0.498,0.4281,[257  415  292]/669
model_v40,0.3796,0.7463,0.1699,0.2226,[251  359  322]/669
