model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.4994,0.6009,0.549,0.3482,[372  540  463]/669
model_v25,0.4465,0.5964,0.503,0.2403,[373  605  479]/669
model_v27,0.6103,0.8199,0.5277,0.4833,[275  539  506]/669
model_v27_fine_tuned,0.6122,0.801,0.5318,0.5037,[284  538  494]/669
model_v28,0.5996,0.7572,0.5677,0.474,[303  530  494]/669
model_v29,0.6019,0.7278,0.5862,0.4918,[320  546  513]/669
model_v30,0.6299,0.813,0.5626,0.5143,[289  553  492]/669
model_v31,0.6191,0.8001,0.5553,0.5019,[287  541  476]/669
model_v32,0.6375,0.8353,0.577,0.5003,[281  544  490]/669
model_v33,0.6448,0.8193,0.5909,0.5242,[286  525  492]/669
model_v34,0.6237,0.799,0.5944,0.4777,[294  537  498]/669
model_v35,0.5784,0.6975,0.5731,0.4646,[327  559  479]/669
model_v36,0.6424,0.8311,0.5867,0.5095,[282  543  505]/669
model_v37,0.6157,0.8006,0.5469,0.4995,[284  565  506]/669
model_v38,0.6295,0.7973,0.5922,0.4992,[298  551  511]/669
model_v39,0.6248,0.7639,0.594,0.5164,[309  556  478]/669
model_v40,0.6006,0.7871,0.5872,0.4276,[295  542  501]/669
model_v41,0.6432,0.8038,0.5997,0.5261,[295  535  486]/669
model_v42,0.6376,0.8218,0.5992,0.4919,[292  537  525]/669
model_v43,0.59,0.813,0.5487,0.4084,[275  534  474]/669
model_v44,0.6437,0.8509,0.5533,0.5269,[276  541  499]/669
model_v45,0.6236,0.7935,0.5742,0.5032,[295  544  487]/669
model_v46,0.6569,0.8386,0.6069,0.5252,[285  529  506]/669
model_v47,0.6569,0.8253,0.59,0.5553,[286  521  459]/669
