model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.5418,0.6353,0.5749,0.4152,[372  540  458]/669
model_v25,0.5109,0.6385,0.5313,0.363,[373  605  464]/669
model_v27,0.6613,0.8612,0.5662,0.5566,[275  539  505]/669
model_v27_fine_tuned,0.6634,0.8425,0.5739,0.5737,[284  538  493]/669
model_v28,0.6594,0.7926,0.6092,0.5764,[303  529  488]/669
model_v29,0.6401,0.7452,0.6076,0.5677,[320  546  512]/669
model_v30,0.67,0.8356,0.5897,0.5848,[289  553  492]/669
model_v31,0.6689,0.8381,0.5953,0.5734,[287  540  476]/669
model_v32,0.6826,0.8584,0.6053,0.5842,[281  544  489]/669
model_v33,0.676,0.8398,0.6137,0.5743,[286  525  491]/669
model_v34,0.6627,0.8221,0.6132,0.5529,[294  537  496]/669
model_v35,0.6259,0.7228,0.6019,0.5528,[327  559  475]/669
model_v36,0.6823,0.8518,0.6053,0.5898,[282  543  505]/669
model_v37,0.6658,0.8424,0.5887,0.5663,[284  565  503]/669
model_v38,0.6658,0.8087,0.6151,0.5735,[298  551  509]/669
model_v39,0.6637,0.7818,0.6198,0.5895,[309  556  476]/669
