model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.5932,0.7678,0.6063,0.4056,[295  476  376]/669
model_v25,0.565,0.7674,0.5757,0.3519,[306  527  377]/669
model_v27,0.6718,0.8893,0.5404,0.5858,[262  485  440]/669
model_v27_fine_tuned,0.69,0.8915,0.5852,0.5933,[265  482  428]/669
model_v28,0.71,0.8802,0.6348,0.6148,[270  484  431]/669
model_v29,0.6926,0.85,0.6216,0.6063,[280  510  463]/669
model_v30,0.7043,0.8831,0.6146,0.6151,[271  510  446]/669
model_v31,0.6942,0.9073,0.5907,0.5845,[266  502  419]/669
model_v32,0.7117,0.8877,0.6158,0.6316,[270  499  435]/669
model_v33,0.7039,0.881,0.6124,0.6183,[273  487  429]/669
model_v34,0.6902,0.8763,0.6239,0.5704,[276  502  450]/669
model_v35,0.6787,0.8381,0.6129,0.5852,[279  527  406]/669
model_v36,0.7176,0.8868,0.6273,0.6388,[271  511  448]/669
model_v37,0.7047,0.8886,0.6108,0.6147,[264  536  436]/669
model_v38,0.6977,0.8472,0.6342,0.6116,[282  518  457]/669
model_v39,0.6924,0.8357,0.6428,0.5988,[287  525  427]/669
model_v40,0.6864,0.8755,0.6309,0.553,[273  504  431]/669
