model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.5388,0.6291,0.5719,0.4152,[372  540  458]/669
model_v25,0.5091,0.6349,0.5286,0.3638,[373  605  464]/669
model_v27,0.6604,0.8586,0.5657,0.557,[275  539  505]/669
model_v27_fine_tuned,0.6618,0.8376,0.5745,0.5734,[284  538  493]/669
model_v28,0.6576,0.79,0.6113,0.5715,[303  529  488]/669
model_v29,0.6379,0.7422,0.6071,0.5644,[320  546  512]/669
model_v30,0.6667,0.8317,0.5881,0.5803,[289  553  492]/669
model_v31,0.6672,0.8346,0.5936,0.5735,[287  540  476]/669
model_v32,0.68,0.8534,0.6047,0.5819,[281  544  489]/669
model_v33,0.6752,0.8388,0.6126,0.5743,[286  525  491]/669
model_v34,0.6608,0.8187,0.6112,0.5527,[294  537  496]/669
model_v35,0.6241,0.7214,0.6,0.5509,[327  559  475]/669
model_v36,0.6815,0.8512,0.6043,0.589,[282  543  505]/669
model_v37,0.6633,0.8393,0.5847,0.5659,[284  565  503]/669
model_v38,0.6658,0.8068,0.6145,0.5761,[298  551  509]/669
model_v39,0.6614,0.778,0.6171,0.5892,[309  556  477]/669
model_v40,0.6532,0.8106,0.6179,0.5311,[295  541  500]/669
model_v41,0.6795,0.8221,0.6213,0.5951,[295  535  484]/669
model_v42,0.6767,0.8358,0.6225,0.5718,[292  537  525]/669
model_v43,0.6634,0.8621,0.5904,0.5378,[275  534  471]/669
model_v44,0.6859,0.87,0.5926,0.5951,[276  540  497]/669
model_v45,0.6695,0.8181,0.6018,0.5884,[295  544  486]/669
