model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.5367,0.6283,0.5689,0.4127,[372  540  458]/669
model_v25,0.5067,0.6316,0.5256,0.363,[373  605  465]/669
model_v27,0.6581,0.8561,0.5639,0.5544,[275  539  505]/669
model_v27_fine_tuned,0.6616,0.8385,0.5738,0.5727,[284  538  493]/669
model_v28,0.6553,0.7905,0.6101,0.5654,[303  529  489]/669
model_v29,0.6348,0.7398,0.6054,0.5591,[320  546  512]/669
model_v30,0.6652,0.8309,0.5868,0.5777,[289  553  492]/669
model_v31,0.6656,0.8324,0.5944,0.5698,[287  540  476]/669
model_v32,0.6786,0.8538,0.6042,0.5778,[281  544  489]/669
model_v33,0.6723,0.837,0.6101,0.57,[286  525  492]/669
model_v34,0.6577,0.8169,0.6094,0.547,[294  537  497]/669
model_v35,0.6222,0.719,0.5977,0.5498,[327  559  475]/669
model_v36,0.6781,0.8469,0.5996,0.5877,[282  543  505]/669
model_v37,0.6594,0.8356,0.5794,0.5631,[284  565  503]/669
model_v38,0.6634,0.8026,0.6131,0.5744,[298  551  509]/669
model_v39,0.6605,0.777,0.6153,0.5893,[309  556  477]/669
model_v40,0.6523,0.8102,0.6155,0.5311,[295  541  500]/669
model_v41,0.6774,0.8215,0.6175,0.5931,[295  535  484]/669
model_v42,0.6734,0.8344,0.62,0.5658,[292  537  525]/669
model_v43,0.6615,0.8609,0.5884,0.5352,[275  534  471]/669
model_v44,0.6844,0.8687,0.5928,0.5918,[276  540  497]/669
model_v45,0.6661,0.8152,0.5993,0.5839,[295  544  486]/669
model_v46,0.6836,0.8457,0.6284,0.5767,[285  529  506]/669
model_v47,0.6855,0.8334,0.6088,0.6143,[286  518  457]/669
model_v42_fine_tuned,0.6762,0.8248,0.6313,0.5726,[293  526  523]/669
