model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.5293,0.78,0.4747,0.3333,[267  446  344]/669
model_v25,0.4945,0.8183,0.4085,0.2567,[277  443  337]/669
model_v27,0.6318,0.8805,0.4499,0.5648,[256  430  396]/669
model_v27_fine_tuned,0.6533,0.8929,0.5065,0.5606,[258  433  385]/669
model_v28,0.7056,0.8748,0.6267,0.6152,[261  448  378]/669
model_v29,0.7131,0.895,0.6095,0.635,[265  482  417]/669
model_v30,0.7076,0.9006,0.6014,0.6207,[263  471  413]/669
model_v31,0.6627,0.8833,0.5468,0.558,[262  459  371]/669
model_v32,0.7043,0.9131,0.5814,0.6184,[261  459  387]/669
model_v33,0.6992,0.8936,0.5907,0.6133,[267  458  387]/669
model_v34,0.6897,0.8967,0.611,0.5614,[267  473  407]/669
model_v35,0.6736,0.8561,0.6058,0.559,[267  494  359]/669
