model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.2648,0.501,0.1759,0.1175,[254  378  315]/669
model_v25,0.1723,0.3466,0.0771,0.0931,[251  376  333]/669
model_v27,0.439,0.7098,0.1997,0.4075,[251  378  346]/669
model_v27_fine_tuned,0.4717,0.7705,0.2543,0.3904,[252  388  333]/669
model_v28,0.5605,0.8016,0.397,0.483,[252  382  323]/669
model_v29,0.6549,0.8724,0.4793,0.6129,[256  402  335]/669
model_v30,0.609,0.8574,0.4203,0.5492,[256  408  332]/669
model_v31,0.5014,0.802,0.2754,0.4268,[255  374  314]/669
model_v32,0.5886,0.8632,0.4116,0.4909,[254  398  331]/669
model_v33,0.6032,0.8747,0.4128,0.5222,[258  386  331]/669
model_v34,0.5844,0.8737,0.4148,0.4648,[256  405  336]/669
model_v35,0.5534,0.7955,0.453,0.4118,[251  404  306]/669
model_v36,0.6781,0.8859,0.5274,0.6209,[257  420  339]/669
model_v37,0.6414,0.8004,0.5726,0.5511,[253  436  323]/669
model_v38,0.6535,0.8916,0.5286,0.5404,[259  419  334]/669
model_v39,0.6765,0.8923,0.5931,0.544,[260  442  318]/669
