model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.4205,0.7158,0.3069,0.2389,[256  404  314]/669
model_v25,0.3356,0.6531,0.2005,0.153,[258  384  330]/669
model_v27,0.5581,0.8196,0.3642,0.4905,[254  405  368]/669
model_v27_fine_tuned,0.5669,0.8458,0.3836,0.4714,[255  411  356]/669
model_v28,0.6538,0.8757,0.5134,0.5722,[254  422  351]/669
model_v29,0.6924,0.8889,0.5536,0.6348,[258  437  376]/669
model_v30,0.6815,0.9002,0.5411,0.6032,[258  442  373]/669
model_v31,0.6087,0.8615,0.442,0.5225,[257  417  334]/669
model_v32,0.6715,0.905,0.5352,0.5744,[257  417  363]/669
model_v33,0.6741,0.9014,0.5208,0.6001,[262  422  353]/669
model_v34,0.6648,0.9131,0.5535,0.5278,[259  439  360]/669
model_v35,0.642,0.8512,0.5826,0.4923,[257  446  324]/669
model_v36,0.7181,0.9068,0.6067,0.6408,[261  448  373]/669
model_v37,0.6827,0.8382,0.6071,0.6028,[259  472  355]/669
model_v38,0.7033,0.8963,0.6087,0.605,[262  446  381]/669
model_v39,0.7023,0.8792,0.632,0.5957,[269  471  343]/669
model_v40,0.6211,0.8622,0.5098,0.4914,[260  426  370]/669
model_v41,0.7094,0.9068,0.595,0.6263,[261  437  343]/669
model_v42,0.7222,0.9078,0.6191,0.6397,[262  452  389]/669
model_v43,0.4697,0.7881,0.2326,0.3886,[254  374  329]/669
model_v44,0.6489,0.9008,0.3892,0.6567,[257  406  384]/669
model_v45,0.6879,0.8733,0.597,0.5935,[267  433  335]/669
