model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.4204,0.7155,0.3069,0.2389,[256  404  314]/669
model_v25,0.3356,0.6531,0.2005,0.153,[258  384  330]/669
model_v27,0.5577,0.8189,0.3638,0.4905,[254  405  368]/669
model_v27_fine_tuned,0.5666,0.8451,0.3832,0.4714,[255  411  356]/669
model_v28,0.6537,0.876,0.513,0.5722,[254  422  351]/669
model_v29,0.6926,0.8889,0.5536,0.6352,[258  437  376]/669
model_v30,0.6809,0.9018,0.5407,0.6001,[258  442  373]/669
model_v31,0.6086,0.8612,0.442,0.5225,[257  417  334]/669
model_v32,0.6705,0.9034,0.5352,0.573,[257  417  363]/669
model_v33,0.6741,0.9014,0.5208,0.6001,[262  422  353]/669
model_v34,0.6654,0.9144,0.5535,0.5282,[259  439  360]/669
model_v35,0.6416,0.8508,0.5833,0.4907,[257  446  324]/669
model_v36,0.718,0.9061,0.6066,0.6412,[261  448  373]/669
model_v37,0.6829,0.8391,0.6081,0.6014,[259  472  355]/669
model_v38,0.7034,0.8992,0.6087,0.6024,[262  446  381]/669
model_v39,0.703,0.881,0.6323,0.5957,[269  471  343]/669
model_v40,0.6213,0.8628,0.5098,0.4914,[260  426  370]/669
model_v41,0.709,0.9068,0.595,0.6254,[261  437  343]/669
model_v42,0.7223,0.9078,0.6191,0.6401,[262  452  389]/669
