model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.1159,0.2258,0.074,0.048,[251  365  333]/669
model_v25,0.0579,0.1124,0.027,0.0342,[249  371  351]/669
model_v27,0.2941,0.504,0.0859,0.2923,[251  361  325]/669
model_v27_fine_tuned,0.331,0.625,0.1053,0.2627,[252  361  316]/669
model_v28,0.402,0.664,0.1662,0.3758,[250  358  322]/669
model_v29,0.5562,0.8393,0.3073,0.5222,[252  371  316]/669
model_v30,0.5048,0.7879,0.2761,0.4505,[253  373  303]/669
model_v31,0.3792,0.7271,0.1421,0.2685,[251  359  298]/669
model_v32,0.4685,0.8049,0.2287,0.3719,[252  376  324]/669
model_v33,0.4907,0.8145,0.2339,0.4238,[256  357  317]/669
model_v34,0.4637,0.8294,0.2473,0.3143,[253  374  316]/669
model_v35,0.4102,0.6793,0.2718,0.2795,[251  379  297]/669
model_v36,0.5798,0.8603,0.3726,0.5063,[253  399  316]/669
model_v37,0.5259,0.6972,0.427,0.4536,[251  404  302]/669
model_v38,0.5838,0.8796,0.4062,0.4657,[256  384  306]/669
model_v39,0.6183,0.8768,0.5089,0.4692,[257  414  292]/669
model_v40,0.4033,0.7663,0.1765,0.2671,[251  357  322]/669
model_v41,0.5426,0.8738,0.328,0.426,[251  375  304]/669
model_v42,0.6193,0.8839,0.4494,0.5246,[254  405  325]/669
model_v43,0.2369,0.54,0.0226,0.1481,[250  354  314]/669
model_v44,0.4833,0.8294,0.1346,0.486,[253  364  358]/669
model_v45,0.5058,0.8412,0.2698,0.4064,[255  354  299]/669
