model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.5305,0.7821,0.4757,0.3338,[267  446  344]/669
model_v25,0.4943,0.8177,0.4085,0.2567,[277  443  337]/669
model_v27,0.6318,0.8805,0.4499,0.5648,[256  430  396]/669
model_v27_fine_tuned,0.6534,0.8931,0.5065,0.5606,[258  433  385]/669
model_v28,0.7058,0.8748,0.6261,0.6165,[261  448  378]/669
model_v29,0.7131,0.8951,0.6091,0.6351,[265  482  417]/669
model_v30,0.7075,0.9021,0.6012,0.619,[263  471  413]/669
model_v31,0.6631,0.8836,0.5468,0.5588,[262  459  371]/669
model_v32,0.7042,0.9119,0.5817,0.6189,[261  459  387]/669
model_v33,0.6995,0.8945,0.5907,0.6133,[267  458  387]/669
model_v34,0.6894,0.8964,0.6103,0.5614,[267  473  407]/669
model_v35,0.6734,0.8558,0.6054,0.559,[267  494  359]/669
model_v36,0.7284,0.9006,0.6187,0.6658,[265  484  406]/669
model_v37,0.7023,0.8822,0.6097,0.6148,[259  508  392]/669
