model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.5317,0.7834,0.4778,0.3338,[267  445  344]/669
model_v25,0.4936,0.8171,0.4085,0.2552,[277  443  337]/669
model_v27,0.6318,0.8809,0.4492,0.5652,[256  430  396]/669
model_v27_fine_tuned,0.6532,0.8934,0.5056,0.5606,[258  433  385]/669
model_v28,0.7051,0.8755,0.6246,0.6153,[261  448  378]/669
model_v29,0.7126,0.8956,0.6081,0.6343,[265  482  417]/669
model_v30,0.7078,0.9037,0.6019,0.6178,[263  471  413]/669
model_v31,0.663,0.8842,0.5472,0.5575,[262  459  371]/669
model_v32,0.704,0.9125,0.5818,0.6176,[261  459  387]/669
model_v33,0.6989,0.8939,0.5907,0.612,[267  458  387]/669
model_v34,0.6896,0.8976,0.6107,0.5606,[267  473  407]/669
model_v35,0.6735,0.8558,0.6063,0.5585,[267  494  359]/669
model_v36,0.7283,0.9,0.6187,0.6663,[265  484  406]/669
model_v37,0.7026,0.8826,0.6102,0.6151,[259  508  391]/669
model_v38,0.7146,0.8739,0.6338,0.6362,[273  486  421]/669
