model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.2648,0.5007,0.1759,0.1178,[254  378  314]/669
model_v25,0.1723,0.3466,0.0771,0.0931,[251  376  333]/669
model_v27,0.4388,0.7092,0.1997,0.4075,[251  378  346]/669
model_v27_fine_tuned,0.4714,0.7698,0.2539,0.3904,[252  388  333]/669
model_v28,0.5604,0.8016,0.3966,0.483,[252  382  323]/669
model_v29,0.655,0.8724,0.4793,0.6134,[256  402  335]/669
model_v30,0.6087,0.8581,0.4203,0.5477,[256  408  332]/669
model_v31,0.5014,0.802,0.2754,0.4268,[255  374  314]/669
model_v32,0.5887,0.8635,0.4116,0.4909,[254  398  331]/669
model_v33,0.603,0.874,0.4128,0.5222,[258  386  331]/669
model_v34,0.5846,0.8743,0.4148,0.4648,[256  405  336]/669
