model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.5913,0.7641,0.6042,0.4055,[295  476  376]/669
model_v25,0.5646,0.7677,0.5728,0.3532,[306  528  377]/669
model_v27,0.6718,0.889,0.5411,0.5852,[262  485  441]/669
model_v27_fine_tuned,0.6892,0.8899,0.5854,0.5923,[265  482  428]/669
model_v28,0.7097,0.8802,0.6364,0.6126,[270  484  432]/669
model_v29,0.6923,0.8485,0.6226,0.6057,[280  510  463]/669
model_v30,0.7037,0.8815,0.6144,0.6153,[271  510  446]/669
model_v31,0.6933,0.9048,0.5899,0.5853,[266  502  419]/669
model_v32,0.7115,0.8864,0.616,0.6322,[270  499  435]/669
model_v33,0.7041,0.881,0.6119,0.6195,[273  487  429]/669
model_v34,0.6894,0.8733,0.6239,0.5711,[276  502  450]/669
model_v35,0.6781,0.8375,0.6121,0.5848,[279  527  406]/669
