model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.5898,0.7608,0.6045,0.4041,[295  476  376]/669
model_v25,0.5633,0.7663,0.5726,0.3509,[306  527  379]/669
model_v27,0.6708,0.8863,0.5412,0.585,[262  485  441]/669
model_v27_fine_tuned,0.6885,0.8901,0.5847,0.5907,[265  482  429]/669
model_v28,0.7087,0.8812,0.6365,0.6085,[270  484  432]/669
model_v29,0.692,0.8486,0.623,0.6044,[280  510  463]/669
model_v30,0.7039,0.8799,0.6156,0.6161,[271  510  446]/669
model_v31,0.6915,0.9016,0.5899,0.5831,[266  502  419]/669
model_v32,0.7109,0.8864,0.6159,0.6304,[270  499  435]/669
model_v33,0.7047,0.881,0.6112,0.6218,[273  487  429]/669
model_v34,0.6889,0.8734,0.6239,0.5693,[276  502  450]/669
model_v35,0.6777,0.8375,0.6105,0.585,[279  527  406]/669
model_v36,0.7158,0.8834,0.6258,0.6381,[271  511  448]/669
model_v37,0.7039,0.8874,0.6074,0.6168,[264  536  436]/669
model_v38,0.6977,0.8449,0.6351,0.6131,[282  518  457]/669
model_v39,0.6916,0.834,0.6401,0.6009,[287  525  428]/669
model_v40,0.6869,0.8758,0.6306,0.5542,[273  504  431]/669
model_v41,0.7117,0.8754,0.6309,0.6287,[274  503  424]/669
model_v42,0.7153,0.8865,0.6493,0.6101,[274  501  468]/669
model_v43,0.6664,0.8725,0.5735,0.5532,[264  474  405]/669
model_v44,0.7023,0.9081,0.5801,0.6186,[265  493  459]/669
model_v45,0.7097,0.8619,0.6216,0.6455,[279  502  421]/669
model_v46,0.7166,0.8733,0.6445,0.632,[275  493  447]/669
model_v47,0.7054,0.8618,0.6166,0.6378,[278  488  404]/669
