model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.2648,0.5007,0.1759,0.1178,[254  378  314]/669
model_v25,0.1723,0.3466,0.0771,0.0931,[251  376  333]/669
model_v27,0.4388,0.7092,0.1997,0.4075,[251  378  346]/669
model_v27_fine_tuned,0.4714,0.7698,0.2539,0.3904,[252  388  333]/669
model_v28,0.5604,0.8016,0.3966,0.483,[252  382  323]/669
model_v29,0.6549,0.8724,0.4793,0.6129,[256  402  335]/669
model_v30,0.6092,0.8581,0.4203,0.5492,[256  408  332]/669
model_v31,0.5014,0.802,0.2754,0.4268,[255  374  314]/669
model_v32,0.5887,0.8635,0.4116,0.4909,[254  398  331]/669
model_v33,0.603,0.874,0.4128,0.5222,[258  386  331]/669
model_v34,0.5844,0.8737,0.4148,0.4648,[256  405  336]/669
model_v35,0.5534,0.7955,0.453,0.4118,[251  404  306]/669
model_v36,0.6781,0.8859,0.5274,0.6209,[257  420  339]/669
model_v37,0.6414,0.8004,0.5726,0.5511,[253  436  323]/669
model_v38,0.6538,0.8925,0.5286,0.5404,[259  419  334]/669
model_v39,0.6768,0.8936,0.5928,0.544,[260  442  318]/669
model_v40,0.534,0.8353,0.3645,0.4023,[256  380  343]/669
model_v41,0.6303,0.906,0.466,0.519,[257  407  316]/669
model_v42,0.6929,0.8986,0.5761,0.6039,[258  427  356]/669
model_v43,0.356,0.7103,0.0789,0.2788,[252  355  321]/669
model_v44,0.5767,0.8659,0.2576,0.6065,[256  383  371]/669
model_v45,0.6254,0.8842,0.4671,0.5248,[259  395  302]/669
model_v46,0.675,0.8874,0.5324,0.6053,[262  417  342]/669
model_v47,0.6228,0.8863,0.4821,0.5,[260  390  311]/669
model_v42_fine_tuned,0.6837,0.9077,0.523,0.6204,[260  420  357]/669
