model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.3098,0.4228,0.3676,0.139,[372  540  470]/669
model_v25,0.2623,0.3903,0.3226,0.0739,[373  605  478]/669
model_v27,0.366,0.4918,0.3527,0.2534,[275  541  510]/669
model_v27_fine_tuned,0.3605,0.4699,0.3536,0.258,[284  540  499]/669
model_v28,0.3787,0.508,0.4063,0.2219,[303  531  496]/669
model_v29,0.4323,0.5735,0.4469,0.2764,[320  547  515]/669
model_v30,0.4509,0.6263,0.4321,0.2942,[289  553  493]/669
model_v31,0.3928,0.5282,0.4019,0.2484,[287  541  482]/669
model_v32,0.4532,0.626,0.4453,0.2883,[281  544  491]/669
model_v33,0.4733,0.6664,0.4698,0.2836,[286  526  496]/669
model_v34,0.4519,0.6233,0.4371,0.2954,[294  537  499]/669
model_v35,0.3723,0.4894,0.3935,0.2341,[327  559  482]/669
model_v36,0.477,0.6651,0.4448,0.3211,[282  543  506]/669
model_v37,0.4154,0.5537,0.4054,0.2872,[284  565  506]/669
model_v38,0.492,0.6806,0.4885,0.3068,[298  551  512]/669
model_v39,0.4387,0.5863,0.4397,0.2901,[309  556  479]/669
model_v40,0.3977,0.5524,0.4337,0.207,[295  542  504]/669
model_v41,0.4531,0.6094,0.4485,0.3013,[295  535  489]/669
