model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.3279,0.5343,0.3415,0.1079,[267  451  366]/669
model_v25,0.2692,0.4928,0.26,0.0548,[277  448  356]/669
model_v27,0.3541,0.4961,0.3014,0.2647,[256  441  413]/669
model_v27_fine_tuned,0.3689,0.4948,0.3425,0.2695,[258  446  402]/669
model_v28,0.4166,0.5709,0.4314,0.2475,[261  454  398]/669
model_v29,0.4868,0.6811,0.4638,0.3153,[265  486  426]/669
model_v30,0.4818,0.6787,0.4442,0.3226,[263  475  420]/669
model_v31,0.4055,0.5738,0.3887,0.2541,[262  465  389]/669
model_v32,0.4776,0.6686,0.4462,0.3178,[261  466  398]/669
model_v33,0.4966,0.7079,0.4624,0.3196,[267  462  400]/669
model_v34,0.482,0.6779,0.452,0.3161,[267  477  417]/669
model_v35,0.4154,0.5855,0.4001,0.2606,[267  497  378]/669
model_v36,0.5135,0.7013,0.4742,0.3651,[265  488  415]/669
model_v37,0.4489,0.6026,0.4189,0.3251,[259  512  407]/669
model_v38,0.5319,0.7341,0.5164,0.3453,[273  488  431]/669
model_v39,0.4791,0.6593,0.4657,0.3122,[272  506  394]/669
model_v40,0.4173,0.6038,0.4393,0.209,[265  472  402]/669
model_v41,0.4897,0.6745,0.4675,0.327,[265  474  393]/669
model_v42,0.5334,0.7318,0.5072,0.3613,[266  483  429]/669
model_v43,0.2893,0.4903,0.267,0.1107,[258  427  387]/669
model_v44,0.4682,0.7115,0.3682,0.3249,[260  444  434]/669
model_v45,0.4637,0.6426,0.4603,0.2881,[270  470  387]/669
