model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.3074,0.4178,0.3647,0.1396,[372  540  468]/669
model_v25,0.2576,0.3827,0.318,0.0723,[373  605  475]/669
model_v27,0.3625,0.4824,0.3522,0.2528,[275  541  509]/669
model_v27_fine_tuned,0.3576,0.464,0.3508,0.2578,[284  540  499]/669
model_v28,0.3777,0.5039,0.4075,0.2219,[303  531  496]/669
model_v29,0.4311,0.5697,0.4473,0.2763,[320  547  514]/669
model_v30,0.449,0.6228,0.4308,0.2933,[289  553  493]/669
model_v31,0.3922,0.5293,0.4004,0.2467,[287  541  482]/669
model_v32,0.4524,0.6243,0.4451,0.2878,[281  544  490]/669
model_v33,0.4727,0.6661,0.4685,0.2836,[286  526  496]/669
model_v34,0.4493,0.6182,0.4367,0.2929,[294  537  499]/669
model_v35,0.3705,0.4883,0.3898,0.2334,[327  559  482]/669
model_v36,0.4769,0.6645,0.4449,0.3211,[282  543  506]/669
model_v37,0.4152,0.5555,0.4041,0.2859,[284  565  506]/669
model_v38,0.4908,0.679,0.4876,0.3058,[298  551  512]/669
model_v39,0.4379,0.5833,0.4403,0.29,[309  556  477]/669
model_v40,0.3962,0.5517,0.4306,0.2063,[295  541  504]/669
model_v41,0.452,0.609,0.4455,0.3013,[295  535  489]/669
model_v42,0.4836,0.6671,0.477,0.3067,[292  538  525]/669
