model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.3293,0.5387,0.3416,0.1076,[267  451  367]/669
model_v25,0.2691,0.4934,0.2595,0.0545,[277  449  358]/669
model_v27,0.3564,0.5039,0.3012,0.2641,[256  442  414]/669
model_v27_fine_tuned,0.3715,0.5016,0.3439,0.2688,[258  446  403]/669
model_v28,0.4175,0.5738,0.4314,0.2475,[261  454  398]/669
model_v29,0.4877,0.683,0.4634,0.3165,[265  486  426]/669
model_v30,0.484,0.6844,0.4446,0.323,[263  475  421]/669
model_v31,0.4063,0.5732,0.3905,0.2554,[262  465  389]/669
model_v32,0.4778,0.6692,0.4458,0.3183,[261  466  400]/669
model_v33,0.4971,0.7091,0.4635,0.3188,[267  462  401]/669
model_v34,0.4846,0.6823,0.453,0.3185,[267  477  417]/669
model_v35,0.4152,0.5849,0.4014,0.2594,[267  497  381]/669
model_v36,0.5136,0.7013,0.4745,0.3651,[265  488  415]/669
model_v37,0.4489,0.602,0.4191,0.3256,[259  512  408]/669
model_v38,0.5338,0.7378,0.517,0.3465,[273  488  431]/669
model_v39,0.4794,0.6651,0.4641,0.309,[272  506  398]/669
model_v40,0.4173,0.6025,0.4405,0.209,[265  473  402]/669
model_v41,0.491,0.677,0.4697,0.3261,[265  475  394]/669
