model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.19,0.3825,0.1417,0.0459,[254  381  327]/669
model_v25,0.1061,0.241,0.0567,0.0206,[251  379  339]/669
model_v27,0.2655,0.4411,0.135,0.2205,[252  389  365]/669
model_v27_fine_tuned,0.289,0.4669,0.1858,0.2143,[252  400  357]/669
model_v28,0.3631,0.5714,0.2946,0.2232,[252  392  342]/669
model_v29,0.4659,0.6927,0.3836,0.3214,[256  411  350]/669
model_v30,0.4306,0.6644,0.3209,0.3064,[256  417  346]/669
model_v31,0.3256,0.5503,0.2104,0.2162,[255  389  333]/669
model_v32,0.4229,0.6542,0.3264,0.2882,[254  406  347]/669
model_v33,0.4409,0.7209,0.3245,0.2771,[258  396  350]/669
model_v34,0.436,0.6895,0.322,0.2967,[256  410  350]/669
model_v35,0.3605,0.5529,0.3213,0.2072,[252  414  333]/669
model_v36,0.5056,0.7231,0.4237,0.3701,[257  428  354]/669
model_v37,0.4338,0.5853,0.4067,0.3095,[254  444  350]/669
model_v38,0.5113,0.7584,0.4502,0.3252,[259  425  350]/669
model_v39,0.4764,0.6891,0.4472,0.293,[260  453  343]/669
model_v40,0.3429,0.6035,0.2776,0.1476,[256  389  359]/669
model_v41,0.4581,0.7043,0.3687,0.3015,[257  415  340]/669
model_v42,0.5231,0.7435,0.4722,0.3535,[258  432  372]/669
model_v43,0.198,0.4563,0.0628,0.0748,[252  366  341]/669
model_v44,0.411,0.7025,0.2072,0.3233,[256  391  382]/669
model_v45,0.4168,0.6651,0.35,0.2354,[259  410  325]/669
model_v46,0.5428,0.792,0.4648,0.3717,[262  426  352]/669
model_v47,0.4915,0.7878,0.4117,0.2748,[260  402  322]/669
