model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.0903,0.1819,0.0679,0.021,[251  368  334]/669
model_v25,0.0367,0.0743,0.0216,0.0142,[249  371  351]/669
model_v27,0.1908,0.3446,0.0543,0.1735,[251  368  340]/669
model_v27_fine_tuned,0.2118,0.3909,0.0753,0.1692,[252  372  334]/669
model_v28,0.2712,0.48,0.136,0.1976,[250  364  334]/669
model_v29,0.3959,0.6561,0.2441,0.2875,[252  381  327]/669
model_v30,0.3658,0.6133,0.2192,0.2649,[253  381  319]/669
model_v31,0.2645,0.51,0.1216,0.1619,[251  370  315]/669
model_v32,0.3457,0.6144,0.1854,0.2372,[252  383  333]/669
model_v33,0.3652,0.6882,0.1757,0.2318,[256  370  330]/669
model_v34,0.3624,0.6555,0.1984,0.2332,[253  383  328]/669
model_v35,0.2735,0.4741,0.1933,0.153,[251  388  317]/669
model_v36,0.4486,0.7088,0.3043,0.3328,[253  407  329]/669
model_v37,0.3815,0.5225,0.3215,0.3006,[252  409  321]/669
model_v38,0.4656,0.7533,0.3557,0.2879,[256  395  319]/669
model_v39,0.4525,0.6803,0.4007,0.2765,[257  423  311]/669
model_v40,0.2681,0.5691,0.1444,0.0908,[251  367  336]/669
model_v41,0.4071,0.6839,0.2701,0.2672,[251  381  320]/669
model_v42,0.4753,0.7283,0.3692,0.3284,[254  409  341]/669
model_v43,0.142,0.38,0.0139,0.0321,[250  360  327]/669
