model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.3542,0.5203,0.406,0.1362,[295  477  405]/669
model_v25,0.3081,0.4992,0.3558,0.0695,[306  529  403]/669
model_v27,0.3815,0.5295,0.3487,0.2662,[262  491  452]/669
model_v27_fine_tuned,0.3933,0.5298,0.3822,0.2678,[265  486  444]/669
model_v28,0.4273,0.5988,0.4376,0.2455,[270  487  443]/669
model_v29,0.4835,0.6847,0.4632,0.3024,[280  513  468]/669
model_v30,0.4904,0.6908,0.4608,0.3196,[271  511  454]/669
model_v31,0.4188,0.5976,0.4046,0.2542,[266  507  439]/669
model_v32,0.4866,0.6733,0.4653,0.3212,[270  502  440]/669
model_v33,0.4988,0.7161,0.4693,0.3111,[273  490  442]/669
model_v34,0.4872,0.6852,0.4615,0.3151,[276  504  456]/669
model_v35,0.4167,0.5878,0.4127,0.2496,[279  527  426]/669
model_v36,0.5156,0.7195,0.4765,0.3508,[271  512  451]/669
model_v37,0.4526,0.6158,0.4204,0.3217,[264  539  445]/669
model_v38,0.5205,0.7213,0.5125,0.3276,[282  519  464]/669
model_v39,0.4711,0.6495,0.4688,0.295,[287  527  439]/669
