model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.2734,0.5007,0.2358,0.0836,[256  412  335]/669
model_v25,0.2022,0.4244,0.1414,0.0409,[258  389  342]/669
model_v27,0.3332,0.4803,0.2568,0.2626,[254  413  384]/669
model_v27_fine_tuned,0.3404,0.4908,0.2733,0.2569,[255  421  375]/669
model_v28,0.3966,0.5801,0.3698,0.2399,[254  430  371]/669
model_v29,0.4817,0.6809,0.4449,0.3192,[258  443  390]/669
model_v30,0.4679,0.688,0.395,0.3207,[258  449  382]/669
model_v31,0.3774,0.5629,0.3193,0.25,[257  427  358]/669
model_v32,0.4604,0.6667,0.4091,0.3056,[257  427  378]/669
model_v33,0.4819,0.722,0.408,0.3158,[262  430  370]/669
model_v34,0.4769,0.6943,0.424,0.3124,[259  443  374]/669
model_v35,0.4049,0.5772,0.3968,0.2407,[257  452  349]/669
model_v36,0.5164,0.7133,0.4672,0.3688,[261  455  381]/669
model_v37,0.4487,0.5824,0.4299,0.3338,[259  479  377]/669
model_v38,0.5353,0.7649,0.5009,0.3401,[262  452  392]/669
