model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.1894,0.3806,0.1417,0.046,[254  381  326]/669
model_v25,0.1048,0.2371,0.0567,0.0206,[251  379  339]/669
model_v27,0.2621,0.4292,0.1353,0.2218,[252  388  363]/669
model_v27_fine_tuned,0.2854,0.453,0.1863,0.2167,[252  399  353]/669
model_v28,0.3566,0.5496,0.2962,0.2242,[252  390  339]/669
model_v29,0.4602,0.6706,0.3858,0.3242,[256  410  347]/669
model_v30,0.4261,0.6517,0.3205,0.3061,[256  416  343]/669
model_v31,0.3217,0.5366,0.2109,0.2175,[255  388  331]/669
