model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.3179,0.4337,0.3729,0.1472,[372  540  471]/669
model_v25,0.2753,0.4206,0.3263,0.0789,[373  605  484]/669
model_v27,0.3793,0.5212,0.3594,0.2572,[275  541  510]/669
model_v27_fine_tuned,0.3745,0.5,0.3611,0.2625,[284  540  500]/669
model_v28,0.3947,0.5421,0.4147,0.2272,[303  531  496]/669
model_v29,0.4459,0.603,0.4526,0.282,[320  547  515]/669
model_v30,0.4613,0.6491,0.4364,0.2984,[289  553  493]/669
model_v31,0.4036,0.5566,0.404,0.2502,[287  541  484]/669
