model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.3318,0.5415,0.3413,0.1126,[267  451  367]/669
model_v25,0.2792,0.5241,0.2579,0.0556,[277  451  360]/669
model_v27,0.3628,0.5231,0.302,0.2634,[256  442  417]/669
model_v27_fine_tuned,0.3777,0.5203,0.3462,0.2667,[258  446  410]/669
model_v28,0.4301,0.6066,0.4335,0.2502,[261  456  401]/669
model_v29,0.4982,0.7113,0.464,0.3193,[265  487  427]/669
model_v30,0.4932,0.7041,0.4498,0.3258,[263  475  422]/669
model_v31,0.4171,0.5999,0.3948,0.2566,[262  465  393]/669
model_v32,0.4876,0.6938,0.4479,0.3209,[261  466  403]/669
model_v33,0.5021,0.7235,0.4647,0.318,[267  463  402]/669
model_v34,0.4937,0.706,0.4567,0.3185,[267  477  417]/669
model_v35,0.4218,0.6036,0.4058,0.256,[267  497  386]/669
model_v36,0.524,0.7255,0.4806,0.3659,[265  489  416]/669
model_v37,0.4575,0.6213,0.4232,0.328,[259  512  408]/669
