model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.3499,0.5158,0.4049,0.129,[295  477  403]/669
model_v25,0.2937,0.4608,0.3523,0.068,[306  529  397]/669
model_v27,0.3736,0.5099,0.3457,0.2654,[262  491  450]/669
model_v27_fine_tuned,0.3841,0.505,0.3794,0.268,[265  486  440]/669
model_v28,0.4109,0.5614,0.4301,0.2413,[270  487  441]/669
model_v29,0.4713,0.6539,0.4602,0.2999,[280  513  467]/669
model_v30,0.4804,0.6691,0.455,0.3171,[271  511  452]/669
model_v31,0.4081,0.5692,0.4027,0.2525,[266  507  436]/669
model_v32,0.474,0.6478,0.4598,0.3144,[270  502  440]/669
model_v33,0.4917,0.6957,0.4676,0.3117,[273  489  440]/669
model_v34,0.4772,0.6639,0.4541,0.3136,[276  504  455]/669
model_v35,0.4086,0.5663,0.4075,0.252,[279  527  422]/669
model_v36,0.5027,0.6921,0.4668,0.3492,[271  512  451]/669
model_v37,0.4434,0.595,0.4161,0.3191,[264  539  444]/669
model_v38,0.5179,0.7154,0.511,0.3272,[282  519  463]/669
model_v39,0.4616,0.6321,0.4581,0.2947,[287  527  436]/669
model_v40,0.4189,0.5934,0.4526,0.2107,[273  506  439]/669
model_v41,0.4773,0.6533,0.4568,0.3218,[274  504  435]/669
model_v42,0.521,0.7133,0.5085,0.3412,[274  502  469]/669
