model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.3475,0.5102,0.4028,0.1294,[295  477  402]/669
model_v25,0.2915,0.4586,0.3488,0.0671,[306  529  395]/669
model_v27,0.3703,0.501,0.3437,0.2664,[262  491  448]/669
model_v27_fine_tuned,0.3811,0.4987,0.3762,0.2684,[265  486  439]/669
model_v28,0.4101,0.5586,0.4304,0.2413,[270  487  441]/669
model_v29,0.4697,0.65,0.4602,0.2988,[280  513  467]/669
model_v30,0.4781,0.6642,0.4542,0.316,[271  511  452]/669
model_v31,0.4072,0.5699,0.4008,0.2508,[266  507  435]/669
model_v32,0.4729,0.6463,0.4592,0.3132,[270  502  439]/669
model_v33,0.492,0.696,0.4669,0.3132,[273  489  438]/669
model_v34,0.4746,0.6585,0.4544,0.3109,[276  504  454]/669
model_v35,0.4083,0.5675,0.4056,0.2518,[279  527  421]/669
model_v36,0.5027,0.6921,0.4667,0.3492,[271  512  451]/669
