model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.2743,0.5046,0.2349,0.0836,[256  413  335]/669
model_v25,0.2049,0.4328,0.141,0.0409,[258  390  342]/669
model_v27,0.34,0.4993,0.258,0.2625,[254  413  386]/669
model_v27_fine_tuned,0.3463,0.5088,0.2739,0.2561,[255  422  380]/669
model_v28,0.4042,0.6017,0.37,0.2409,[254  432  375]/669
model_v29,0.491,0.7067,0.4439,0.3223,[258  444  391]/669
model_v30,0.4731,0.7003,0.3981,0.3208,[258  450  385]/669
model_v31,0.3843,0.5824,0.3197,0.2507,[257  428  361]/669
model_v32,0.4685,0.69,0.4091,0.3063,[257  427  382]/669
model_v33,0.4856,0.7354,0.4082,0.3132,[262  431  373]/669
model_v34,0.4829,0.7136,0.4253,0.3099,[259  444  377]/669
model_v35,0.41,0.5908,0.4007,0.2386,[257  453  352]/669
model_v36,0.5254,0.736,0.4705,0.3697,[261  455  382]/669
